STRIPCD1\5\0148.snd - 0x1b3c2, 0x29e80
STRIPCD1\5\0149.smd - 0x1b416, 0x1110
STRIPCD1\5\0150.snd - 0x1b419, 0x2efe0
STRIPCD1\5\0151.smd - 0x1b477, 0x0674
STRIPCD1\5\0152.snd - 0x1b478, 0x20760
STRIPCD1\5\0153.smd - 0x1b4b9, 0x0318
STRIPCD1\5\0154.snd - 0x1b4ba, 0x4c200
STRIPCD1\5\0155.smd - 0x1b553, 0x06ac
STRIPCD1\5\0156.snd - 0x1b554, 0x25df0
STRIPCD1\5\0157.smd - 0x1b5a0, 0x1960
STRIPCD1\5\0158.snd - 0x1b5a4, 0x25df0
STRIPCD1\5\0159.smd - 0x1b5f0, 0x01d0
STRIPCD1\5\0160.snd - 0x1b5f1, 0x25df0
STRIPCD1\5\0161.smd - 0x1b63d, 0x03bc
STRIPCD1\5\0162.snd - 0x1b63e, 0x55a20
STRIPCD1\5\0163.smd - 0x1b6ea, 0x0414
STRIPCD1\5\0164.snd - 0x1b6eb, 0x2ff30
STRIPCD1\5\0165.smd - 0x1b74b, 0x124c
STRIPCD1\5\0166.snd - 0x1b74e, 0x2a000
STRIPCD1\5\0167.smd - 0x1b7a2, 0x03a4
STRIPCD1\5\0168.snd - 0x1b7a3, 0x2fa10
STRIPCD1\5\0169.smd - 0x1b803, 0x0244
STRIPCD1\5\0170.snd - 0x1b804, 0x2fa10
STRIPCD1\5\0171.smd - 0x1b864, 0x01b0
STRIPCD1\5\0172.snd - 0x1b865, 0x2efe0
STRIPCD1\5\0173.smd - 0x1b8c3, 0x00c8
STRIPCD1\5\0174.snd - 0x1b8c4, 0x2d9b0
STRIPCD1\5\0175.smd - 0x1b920, 0x1cd0
STRIPCD1\5\0176.snd - 0x1b924, 0x2a000
STRIPCD1\5\0177.smd - 0x1b978, 0x01d8
STRIPCD1\5\0178.snd - 0x1b979, 0x2e570
STRIPCD1\5\0179.smd - 0x1b9d6, 0x3098
STRIPCD1\5\0180.snd - 0x1b9dd, 0x2a000
STRIPCD1\5\0181.smd - 0x1ba31, 0x0304
STRIPCD1\5\0182.snd - 0x1ba32, 0x23ef0
STRIPCD1\5\0183.smd - 0x1ba7a, 0x01ec
STRIPCD1\5\0184.snd - 0x1ba7b, 0x300b0
STRIPCD1\5\0185.smd - 0x1badc, 0x1064
STRIPCD1\5\0186.snd - 0x1badf, 0x23ef0
STRIPCD1\5\0187.smd - 0x1bb27, 0x0228
STRIPCD1\5\0188.snd - 0x1bb28, 0x2a000
STRIPCD1\5\0189.smd - 0x1bb7c, 0x00c4
STRIPCD1\5\0190.snd - 0x1bb7d, 0x2fa10
STRIPCD1\5\0191.smd - 0x1bbdd, 0x0124
STRIPCD1\5\0192.snd - 0x1bbde, 0x25df0
STRIPCD1\5\0193.smd - 0x1bc2a, 0x1bdc
STRIPCD1\5\0194.snd - 0x1bc2e, 0x53990
STRIPCD1\5\0195.smd - 0x1bcd6, 0x1190
STRIPCD1\5\0196.snd - 0x1bcd9, 0x525d0
STRIPCD1\5\0197.smd - 0x1bd7e, 0x003c
STRIPCD1\5\0198.snd - 0x1bd7f, 0x56030
STRIPCD1\5\0199.smd - 0x1be2c, 0x003c
STRIPCD1\5\0200.snd - 0x1be2d, 0x1f4f0
STRIPCD1\5\0201.smd - 0x1be6c, 0x003c
STRIPCD1\5\0202.snd - 0x1be6d, 0x49b50
STRIPCD1\5\0203.smd - 0x1bf01, 0x003c
STRIPCD1\5\0204.snd - 0x1bf02, 0x2f0e0
STRIPCD1\5\0205.smd - 0x1bf61, 0x087c
STRIPCD1\5\0206.snd - 0x1bf63, 0x2f0e0
STRIPCD1\5\0207.smd - 0x1bfc2, 0x0278
STRIPCD1\5\0208.snd - 0x1bfc3, 0x2f430
STRIPCD1\5\0209.smd - 0x1c022, 0x0224
STRIPCD1\5\0210.snd - 0x1c023, 0x2fd50
STRIPCD1\5\0211.smd - 0x1c083, 0x1a40
STRIPCD1\5\0212.snd - 0x1c087, 0x55a20
STRIPCD1\5\0213.smd - 0x1c133, 0x08d8
STRIPCD1\5\0214.snd - 0x1c135, 0x301a0
STRIPCD1\5\0215.smd - 0x1c196, 0x1434
STRIPCD1\5\0216.snd - 0x1c199, 0x2e990
STRIPCD1\5\0217.smd - 0x1c1f7, 0x0ab4
STRIPCD1\5\0218.snd - 0x1c1f9, 0x50660
STRIPCD1\5\0219.smd - 0x1c29a, 0x1428
STRIPCD1\5\0220.snd - 0x1c29d, 0x2fc50
STRIPCD1\5\0221.smd - 0x1c2fd, 0x0c78
STRIPCD1\5\0222.snd - 0x1c2ff, 0x2e550
STRIPCD1\5\0223.smd - 0x1c35c, 0x2a1c
STRIPCD1\5\0224.snd - 0x1c362, 0x30050
STRIPCD1\5\0225.smd - 0x1c3c3, 0x14b8
STRIPCD1\5\0226.snd - 0x1c3c6, 0x2c9c0
STRIPCD1\5\0227.smd - 0x1c420, 0x0de4
STRIPCD1\5\0228.snd - 0x1c422, 0x20910
STRIPCD1\5\0229.smd - 0x1c464, 0x0a28
STRIPCD1\5\0230.snd - 0x1c466, 0x49910
STRIPCD1\5\0231.smd - 0x1c4fa, 0x003c
STRIPCD1\5\0232.snd - 0x1c4fb, 0x55f10
STRIPCD1\5\0233.smd - 0x1c5a7, 0x003c
STRIPCD1\5\0234.snd - 0x1c5a8, 0x55f90
STRIPCD1\5\0235.smd - 0x1c654, 0x003c
STRIPCD1\5\0236.snd - 0x1c655, 0x49b50
STRIPCD1\5\0237.smd - 0x1c6e9, 0x003c
STRIPCD1\5\0238.snd - 0x1c6ea, 0x49b50
STRIPCD1\5\0239.smd - 0x1c77e, 0x003c
STRIPCD1\5\0240.snd - 0x1c77f, 0x49b50
STRIPCD1\5\0241.smd - 0x1c813, 0x003c
STRIPCD1\5\0242.snd - 0x1c814, 0x49b50
STRIPCD1\5\0243.smd - 0x1c8a8, 0x003c
STRIPCD1\5\0244.snd - 0x1c8a9, 0x49b50
STRIPCD1\5\0245.smd - 0x1c93d, 0x003c
STRIPCD1\5\0246.snd - 0x1c93e, 0x56120
STRIPCD1\5\0247.smd - 0x1c9eb, 0x1664
STRIPCD1\5\0248.snd - 0x1c9ee, 0x52440
STRIPCD1\5\0249.smd - 0x1ca93, 0x0b9c
STRIPCD1\5\0250.snd - 0x1ca95, 0x2fe90
STRIPCD1\5\0251.smd - 0x1caf5, 0x1288
STRIPCD1\5\0252.snd - 0x1caf8, 0x2e570
STRIPCD1\5\0253.smd - 0x1cb55, 0x1844
STRIPCD1\5\0254.snd - 0x1cb59, 0x2fe30
STRIPCD1\5\0255.smd - 0x1cbb9, 0x08dc
STRIPCD1\5\0256.snd - 0x1cbbb, 0x56000
STRIPCD1\5\0257.smd - 0x1cc67, 0x0930
STRIPCD1\5\0258.snd - 0x1cc69, 0x53bd0
STRIPCD1\5\0259.smd - 0x1cd11, 0x08f8
STRIPCD1\5\0260.snd - 0x1cd13, 0x2e020
STRIPCD1\5\0261.smd - 0x1cd70, 0x24bc
STRIPCD1\5\0262.snd - 0x1cd75, 0x301a0
STRIPCD1\5\0263.smd - 0x1cdd6, 0x1830
STRIPCD1\5\0264.snd - 0x1cdda, 0x55f60
STRIPCD1\5\0265.smd - 0x1ce86, 0x13b4
STRIPCD1\5\0266.snd - 0x1ce89, 0x2fd80
STRIPCD1\5\0267.smd - 0x1cee9, 0x1878
STRIPCD1\5\0268.snd - 0x1ceed, 0x29040
STRIPCD1\5\0269.smd - 0x1cf40, 0x11c8
STRIPCD1\5\0270.snd - 0x1cf43, 0x4ed20
STRIPCD1\5\0271.smd - 0x1cfe1, 0x14c8
STRIPCD1\5\0272.snd - 0x1cfe4, 0x55e70
STRIPCD1\5\0273.smd - 0x1d090, 0x2a18
STRIPCD1\5\0274.snd - 0x1d096, 0x2e570
STRIPCD1\5\0275.smd - 0x1d0f3, 0x3098
STRIPCD1\5\0276.snd - 0x1d0fa, 0x2fe30
STRIPCD1\5\0277.smd - 0x1d15a, 0x08dc
STRIPCD1\5\0278.snd - 0x1d15c, 0x2dda0
STRIPCD1\5\0279.smd - 0x1d1b8, 0x1e7c
STRIPCD1\6\0391.sed - 0x1d1bc, 0x6f8c
STRIPCD1\6\0392.sed - 0x1d1ca, 0x0290
STRIPCD1\6\0393.sed - 0x1d1cb, 0x003c
STRIPCD1\6\0394.sed - 0x1d1cc, 0x061c
STRIPCD1\6\0395.sed - 0x1d1cd, 0x09c0
STRIPCD1\6\0396.sed - 0x1d1cf, 0x033c
STRIPCD1\6\0397.sed - 0x1d1d0, 0x0654
STRIPCD1\6\0398.sed - 0x1d1d1, 0x0114
STRIPCD1\6\0399.sed - 0x1d1d2, 0x05a0
STRIPCD1\6\0400.sed - 0x1d1d3, 0x0048
STRIPCD1\6\0401.sed - 0x1d1d4, 0x0274
STRIPCD1\7\0424 - 0x1d1d5, 0x211dc
STRIPCD1\7\0425 - 0x1d218, 0xead4
STRIPCD1\8\0427 - 0x1d236, 0xdd38
STRIPCD1\8\0428 - 0x1d252, 0xd3b0
STRIPCD1\8\0429 - 0x1d26d, 0xd714
STRIPCD1\8\0430 - 0x1d288, 0xe620
STRIPCD1\8\0431 - 0x1d2a5, 0xb518
STRIPCD1\8\0432 - 0x1d2bc, 0xd0b8
STRIPCD1\8\0433 - 0x1d2d7, 0x9838
STRIPCD1\8\0434 - 0x1d2eb, 0x9144
STRIPCD1\8\0435 - 0x1d2fe, 0x90fc
STRIPCD1\8\0436 - 0x1d311, 0xd714
STRIPCD1\8\0437 - 0x1d32c, 0xd620
STRIPCD1\8\0438 - 0x1d347, 0x9e30
STRIPCD1\8\0439 - 0x1d35b, 0xdd38
STRIPCD1\8\0440 - 0x1d377, 0xdd38
STRIPCD1\8\0441 - 0x1d393, 0xdd38
STRIPCD1\8\0442 - 0x1d3af, 0xdd38
STRIPCD1\8\0443 - 0x1d3cb, 0xca14
STRIPCD1\8\0444 - 0x1d3e5, 0xdae0
STRIPCD1\8\0445 - 0x1d401, 0x9674
STRIPCD1\8\0446 - 0x1d414, 0xaa9c
STRIPCD1\8\0447 - 0x1d42a, 0xc07c
STRIPCD1\8\0448 - 0x1d443, 0xef30
STRIPCD1\8\0449 - 0x1d461, 0x10970
STRIPCD1\8\0450 - 0x1d483, 0xa940
STRIPCD1\8\0451 - 0x1d499, 0xeee8
STRIPCD1\8\0452 - 0x1d4b7, 0x8f50
STRIPCD1\8\0453 - 0x1d4c9, 0x9674
STRIPCD1\8\0454 - 0x1d4dc, 0xbff4
STRIPCD1\8\0455 - 0x1d4f4, 0x8458
STRIPCD1\8\0456 - 0x1d505, 0xb93c
STRIPCD1\8\0457 - 0x1d51d, 0x9080
STRIPCD1\8\0458 - 0x1d530, 0x8970
STRIPCD1\8\0459 - 0x1d542, 0xaa9c
STRIPCD1\9\0492.tim - 0x1d558, 0x1220
STRIPCD1\9\0493.tim - 0x1d55b, 0x1220
STRIPCD1\9\0494.tim - 0x1d55e, 0x1220
STRIPCD1\9\0495.tim - 0x1d561, 0x1220
STRIPCD1\9\0496.tim - 0x1d564, 0x1220
STRIPCD1\9\0497.tim - 0x1d567, 0x1220
STRIPCD1\9\0498.tim - 0x1d56a, 0x1220
STRIPCD1\9\0499.tim - 0x1d56d, 0x1220
STRIPCD1\9\0500.tim - 0x1d570, 0x1220
STRIPCD1\9\0501.tim - 0x1d573, 0x1220
STRIPCD1\9\0502.tim - 0x1d576, 0x1220
STRIPCD1\9\0503.tim - 0x1d579, 0x1220
STRIPCD1\9\0504.tim - 0x1d57c, 0x1220
STRIPCD1\9\0505.tim - 0x1d57f, 0x1220
STRIPCD1\9\0506.tim - 0x1d582, 0x1220
STRIPCD1\9\0507.tim - 0x1d585, 0x1220
STRIPCD1\9\0508.tim - 0x1d588, 0x1220
STRIPCD1\9\0509.tim - 0x1d58b, 0x1220
STRIPCD1\9\0510.tim - 0x1d58e, 0x1220
STRIPCD1\9\0511.tim - 0x1d591, 0x1220
STRIPCD1\9\0512.tim - 0x1d594, 0x1220
STRIPCD1\9\0513.tim - 0x1d597, 0x1220
STRIPCD1\9\0514.tim - 0x1d59a, 0x1220
STRIPCD1\9\0515.tim - 0x1d59d, 0x1220
STRIPCD1\9\0516.tim - 0x1d5a0, 0x1220
STRIPCD1\9\0517.tim - 0x1d5a3, 0x1220
STRIPCD1\9\0518.tim - 0x1d5a6, 0x1220
STRIPCD1\9\0519.tim - 0x1d5a9, 0x1220
STRIPCD1\9\0520.tim - 0x1d5ac, 0x1220
STRIPCD1\9\0521.tim - 0x1d5af, 0x1220
STRIPCD1\9\0522.tim - 0x1d5b2, 0x1220
STRIPCD1\9\0523.tim - 0x1d5b5, 0x1220
STRIPCD1\9\0524.tim - 0x1d5b8, 0x1220
STRIPCD1\9\0525.tim - 0x1d5bb, 0x1220
STRIPCD1\9\0526.tim - 0x1d5be, 0x1220
STRIPCD1\9\0527.tim - 0x1d5c1, 0x1220
STRIPCD1\9\0528.tim - 0x1d5c4, 0x1220
STRIPCD1\9\0529.tim - 0x1d5c7, 0x1220
STRIPCD1\9\0530.tim - 0x1d5ca, 0x1220
STRIPCD1\9\0531.tim - 0x1d5cd, 0x1220
STRIPCD1\9\0532.tim - 0x1d5d0, 0x1220
STRIPCD1\9\0533.tim - 0x1d5d3, 0x1220
STRIPCD1\9\0534.tim - 0x1d5d6, 0x1220
STRIPCD1\9\0535.tim - 0x1d5d9, 0x1220
STRIPCD1\9\0536.tim - 0x1d5dc, 0x1220
STRIPCD1\9\0537.tim - 0x1d5df, 0x1220
STRIPCD1\9\0538.tim - 0x1d5e2, 0x1220
STRIPCD1\9\0539.tim - 0x1d5e5, 0x1220
STRIPCD1\9\0540.tim - 0x1d5e8, 0x1220
STRIPCD1\9\0541.tim - 0x1d5eb, 0x1220
STRIPCD1\9\0542.tim - 0x1d5ee, 0x1220
STRIPCD1\9\0543.tim - 0x1d5f1, 0x1220
STRIPCD1\9\0544.tim - 0x1d5f4, 0x1220
STRIPCD1\9\0545.tim - 0x1d5f7, 0x1220
STRIPCD1\9\0546.tim - 0x1d5fa, 0x1220
STRIPCD1\9\0547.tim - 0x1d5fd, 0x1220
STRIPCD1\9\0548.tim - 0x1d600, 0x1220
STRIPCD1\9\0549.tim - 0x1d603, 0x1220
STRIPCD1\9\0550.tim - 0x1d606, 0x1220
STRIPCD1\9\0551.tim - 0x1d609, 0x1220
STRIPCD1\9\0552.tim - 0x1d60c, 0x1220
STRIPCD1\9\0553.tim - 0x1d60f, 0x1220
STRIPCD1\9\0554.tim - 0x1d612, 0x1220
STRIPCD1\9\0555.tim - 0x1d615, 0x1220
STRIPCD1\9\0556.tim - 0x1d618, 0x1220
STRIPCD1\9\0557.tim - 0x1d61b, 0x1220
STRIPCD1\9\0558.tim - 0x1d61e, 0x1220
STRIPCD1\9\0559.tim - 0x1d621, 0x1220
STRIPCD1\9\0560.tim - 0x1d624, 0x1220
STRIPCD1\9\0561.tim - 0x1d627, 0x1220
STRIPCD1\9\0562.tim - 0x1d62a, 0x1220
STRIPCD1\9\0563.tim - 0x1d62d, 0x1220
STRIPCD1\9\0564.tim - 0x1d630, 0x1220
STRIPCD1\9\0565.tim - 0x1d633, 0x1220
STRIPCD1\9\0566.tim - 0x1d636, 0x1220
STRIPCD1\9\0567.tim - 0x1d639, 0x1220
STRIPCD1\9\0568.tim - 0x1d63c, 0x1220
STRIPCD1\9\0569.tim - 0x1d63f, 0x1220
STRIPCD1\9\0570.tim - 0x1d642, 0x1220
STRIPCD1\9\0571.tim - 0x1d645, 0x1220
STRIPCD1\9\0572.tim - 0x1d648, 0x1220
STRIPCD1\9\0573.tim - 0x1d64b, 0x1220
STRIPCD1\9\0574.tim - 0x1d64e, 0x1220
STRIPCD1\9\0575.tim - 0x1d651, 0x1220
STRIPCD1\9\0576.tim - 0x1d654, 0x1220
STRIPCD1\9\0577.tim - 0x1d657, 0x1220
STRIPCD1\9\0578.tim - 0x1d65a, 0x1220
STRIPCD1\9\0579.tim - 0x1d65d, 0x1220
STRIPCD1\9\0580.tim - 0x1d660, 0x1220
STRIPCD1\9\0581.tim - 0x1d663, 0x1220
STRIPCD1\9\0582.tim - 0x1d666, 0x1220
STRIPCD1\10\0589.unk8 - 0x1d669, 0x82c8
STRIPCD1\10\0590.sed - 0x1d67a, 0x6f8c
STRIPCD1\10\0591 - 0x1d688, 0x15a1c
STRIPCD1\10\0592.tim - 0x1d6b4, 0x4040
STRIPCD1\10\0593 - 0x1d6bd, 0x2532
STRIPCD1\10\0594.tim - 0x1d6c2, 0x8220
STRIPCD1\10\0595 - 0x1d6d3, 0x621c
STRIPCD1\11\0606 - 0x1d6e0, 0x19e58
STRIPCD1\11\0607.raw2 - 0x1d714, 0x2000
STRIPCD1\11\0608 - 0x1d718, 0x29e0c
STRIPCD1\11\0609.raw2 - 0x1d76c, 0x80800
STRIPCD1\11\0610 - 0x1d86d, 0x1e224
STRIPCD1\11\0611.raw2 - 0x1d8aa, 0x71800
STRIPCD1\11\0612 - 0x1d98d, 0x134d0
STRIPCD1\11\0613.raw2 - 0x1d9b4, 0x6b800
STRIPCD1\11\0614 - 0x1da8b, 0x17b4
STRIPCD1\11\0615.raw2 - 0x1da8e, 0x7c000
STRIPCD1\11\0616 - 0x1db86, 0xa06c
STRIPCD1\11\0617.raw2 - 0x1db9b, 0x41000
STRIPCD1\11\0618 - 0x1dc1d, 0x6248
STRIPCD1\11\0619.raw2 - 0x1dc2a, 0x3c800
STRIPCD1\11\0620 - 0x1dca3, 0x472c
